exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error,h_c_0
10mmol_21C,0.000311156,573.8697524,0.636105186,0.048044137,0.102353646,0.0135463579638686,0.9993478317086414,8.501771971393363e-15,success,,
10mmol_30C,0.000484589,750.2953382,0.299969729,0.027657221,0.101920696,0.0064953071522437,0.9999368389474464,0.0,success,,
10mmol_30C,0.000484723,750.4714709,0.30086996,0.029996608,0.100728892,0.0066990972045557,0.9999373126605452,0.0,success,,
10mmol_30C,0.000424486,747.039551,0.300277107,0.033680896,0.101963254,0.0073079943011127,0.9998096537113562,0.0,success,,
10mmol_30C,0.000321245,756.784656,0.30165437,0.028404616,0.106520084,0.0078698287822321,0.9982787922650568,0.0,success,,
10mmol_30C,0.000253766,755.4236992,0.300444696,0.029515776,0.110764391,0.0087692645676888,0.9917665109058414,0.0,success,,
10mmol_30C,0.000218042,753.9525958,0.299255712,0.04081838,0.112600636,0.0231436871617143,0.9819022020832232,0.0,success,,
10mmol_30C,0.000204692,762.5832536,0.300260935,0.028816622,0.108112661,0.0096637688319312,0.970070535877288,0.0,success,,
10mmol_30C,0.000525507,768.5286697,0.404567349,0.03485328,0.100120453,0.0088105050639055,0.999981062141744,0.0,success,,
10mmol_30C,0.000536213,751.5175953,0.400808572,0.036146741,0.099449109,0.0085948356958956,0.9999851609331332,0.0,success,,
10mmol_30C,0.000473427,752.3400856,0.399434062,0.034894361,0.103465405,0.008997849463642,0.9999512024467676,0.0,success,,
10mmol_30C,0.000360226,755.7630907,0.399019986,0.031833512,0.110368597,0.0098299031660285,0.9995174546905882,0.0,success,,
10mmol_30C,0.000265749,753.5882322,0.401281357,0.047793126,0.109816324,0.0316105377291181,0.9959213304393616,0.0,success,,
10mmol_30C,0.000240091,749.5468121,0.398708968,0.073278927,0.109913707,0.0341022513838316,0.9922040924437202,0.0,success,,
10mmol_30C,0.00022167,751.4893686,0.400032531,0.070955006,0.110415327,0.0347215657990973,0.9870532825077598,0.0,success,,
10mmol_30C,0.000654894,758.7907519,0.501027341,0.040853267,0.099028083,0.009967090802106,0.9999989961673732,6.4298487612929615e-15,success,,
10mmol_30C,0.000677966,752.8593337,0.499499435,0.042382798,0.097580385,0.0098225494593107,0.9999993370204416,0.0,success,,
10mmol_30C,0.000549679,750.0255688,0.50015755,0.040361707,0.101830843,0.0104864165678644,0.999993561726056,6.5049912684853656e-15,success,,
